word,rootsword1,rootsword2
Wexit,west,exit
indietronica,indie,electronica
ruddervator,rudder,elevator
unmatchless,unmatched,matchless
Whitmaniac,Whitman,maniac
sextremist,sex,extremist
avoision,avoidance,evasion
shoefie,shoeie
silicene,silicon,graphene
retrad,retro,ad
nephling,nephew,sibling
avigation,aviation,navigation
scientifilm,scientifiction,film
architourist,architecture,tourist
blidget,blog,widget
pettiskirt,petticoat,skirt
twindemic,twin,pandemic
exitron,exon,intron
satellect,satellite,lect
misle,mist,drizzle
sexpertise,sex,expertise
drider,drow,spider
shellfishery,shellfish,fishery
notspot,not,hotspot
artographer,art,photographer
technorati,technology,literati
pisslamist,piss,Islamist
glamazonian,glamour,Amazonian
Dunglish,Dutch,English
militainment,military,entertainment
perillaldehyde,perilla,aldehyde
gazunder,gazump,under
Punycode,puny,Unicode
carideer,caribou,reindeer
camouflanguage,camouflage,language
annetocin,annelid,oxytocin
heroicomical,heroic,comical
bancorporation,bank,corporation
Manipogo,Manitoba,Ogopogo
flatform,flat,platform
heatronic,heat,electronic
ludomusicology,ludology,musicology
mayhole,maypole,hole
womanthrope,woman,misanthrope
naphthazarin,naphthalene,alizarin
metaverse,meta,Universe
fursona,fur,persona
hoffice,home,office
renoviction,renovation,eviction
parapinopsin,parapineal,opsin
fauxminist,faux,feminist
paytriot,pay,patriot
genethics,genetics,ethics
Islamerica,Islam,America
boatmobile,boat,bookmobile
brandwidth,brand,bandwidth
jumbrella,jumbo,umbrella
flamadiddle,flam,paradiddle
assosymmetric,associative,symmetric
edgel,edge,pixel
impasta,imposter,pasta
emergy,embodied,energy
beautility,beauty,utility
cannabutter,cannabis,butter
hunkvertising,hunk,advertising
acafandom,academic,fandom
spudzooka,spud,bazooka
tweezertrodes,tweezers,electrodes
fakeaway,fake,takeaway
gentamicin,gentian,kanamycin
snogaine,snow,rogaine
Czexit,Czech,exit
snowicane,snow,hurricane
xanbie,Xanax,zombie
electret,electricity,magnet
wolfaboo,wolf,weeaboo
midshipmite,midshipman,mite
acutangular,acute,angular
mefenamic,methyl,fenamic
frightmare,fright,nightmare
crafternoon,craft,afternoon
spacistor,space,transistor
subtopia,suburb,utopia
hunty,honey,cunt
illderly,ill,elderly
computronium,computer,neutronium
alphagram,alphabetical,alphabetical
succubitch,succubus,bitch
smectogen,smectic,mesogen
skyrmion,Skyrme,fermion
shortalls,short,overalls
boreout,bore,burnout
shants,shorts,pants
curlyhead,curly,head
mannaric,mannose,aldaric
mainspace,main,namespace
renovict,renovate,evict
sorostitute,sorority,prostitute
guesstimation,guess,estimation
transcribbler,transcriber,scribbler
Connecticunt,Connecticut,cunt
stealthie,stealthie
superheroics,superhero,heroics
beavage,beaver,cleavage
varactor,variable,reactor
wefie,weie
vaxxie,vaxie
crustache,crust,mustache
emulsoid,emulsion,colloid
mixel,mixed,pixel
biketard,bike,leotard
amnihook,amniotic,hook
blackfold,black,manifold
manjo,mandolin,banjo
atheitard,atheist,retard
virokine,virus,cytokine
Ocicat,ocelot,cat
permyriad,per,myriad
Mexamerican,Mexican,American
savingram,saving,telegram
collapsar,collapse,star
tricklining,trick,slacklining
Eastralia,east,Australia
mixmer,mixed,oligomer
Rastitute,Rastafarian,prostitute
catechase,catechol,dioxygenase
Trumpanzee,Trump,chimpanzee
televidiot,television,idiot
balloonacy,balloon,lunacy
goosander,goose,gander
trilliant,triangle,brilliant
clickjacking,click,hijacking
nativar,native,cultivar
chairmanager,chairman,manager
scramblevision,scramble,television
symlet,symmetry,wavelet
whippador,whippet,Labrador
gaymo,gay,homo
flashforward,flashback,forward
manganpyrosmalite,manganese,pyrosmalite
Playmander,Playford,gerrymander
polydeism,polytheism,deism
workcation,work,vacation
vortensity,vorticity,density
fursonal,fur,personal
clipmapping,clip,mipmapping
newgrass,new,bluegrass
feminerd,feminist,nerd
vajazzle,vagina,bedazzle
cavicapture,cavity,capture
foolosophy,fool,philosophy
superpussy,super,pussy
Toyger,toy,tiger
casamino,casein,amino
mankini,man,bikini
squirl,squiggle,twirl
feminationalism,feminism,nationalism
brandalism,brand,vandalism
morbimortality,morbidity,mortality
digraph,directed,graph
slavenapping,slave,kidnapping
fauxgressive,faux,progressive
Spederline,Spears,Federline
atelectrauma,atelectasis,trauma
adverticle,advertisement,article
deceleron,decelerate,aileron
